cocktail_no,url
49,https://cdn.goody.buzz/media/20190101173848/Cocktail-sex-on-the-beach.jpg
50,https://www.acouplecooks.com/wp-content/uploads/2019/12/Sea-Breeze-Cocktail-003.jpg
51,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/singapore-sling-37315fa.jpg
52,https://149694725.v2.pressablecdn.com/wp-content/uploads/2018/04/Irish-Coffee-Cocktail.jpg
53,https://www.liquor.com/thmb/6uQGgoOLnusjargSpwFaelzsqoY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/zombie-720x720-primary-29b2a1ab718f42f293bb7b2b6cb107c8.jpg
54,https://www.liquor.com/thmb/EdUHsRs8g5jsnTi7_HMDg4xeE-o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/caipirnha-720x720-primary-40900f56782b4c1d8c79494c9b413f9c.jpg
55,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cosmopolitan-7a6874f.jpg
56,https://www.saveur.com/uploads/2020/04/17/Corpse-Reviver-Cocktail-Belle-Morizio-scaled.jpg
57,https://img.jamieoliver.com/jamieoliver/recipe-database/oldImages/large/1210_1_1436778857.jpg
58,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/440x400-kir-royale-40283e2.jpg
59,https://www.liquor.com/thmb/sqGcYM63f4iHWrf730_vA7oB8sM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/french-75-720x720-primary-17fc1ce34c0a49e2ad60eb4a5705c6a2.jpg
60,https://www.liquor.com/thmb/IBQ2BKYje9S__vkQSMO8NG0_934=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/french-connection-720x720-primary-424103533cfe4e9e8522945d0568f3d4.jpg
61,https://www.acouplecooks.com/wp-content/uploads/2020/11/Pina-Colada-056.jpg
62,https://www.liquor.com/thmb/ohTOhWrDCBdEScPNwFDmM6mrwbQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__02__08143927__pisco-sour-720x720-recipe-9c46d52151e5445fa90bcf0394493060.jpg
63,https://iba-world.com/wp-content/uploads/2021/02/IBA-CC-13-Hemingway-Special-scaled.jpg
64,https://assets-prd.punchdrink.com/wp-content/uploads/2013/10/Horses-Neck.jpg
65,"https://assets.epicurious.com/photos/632c8a16314c59dc68dcb726/3:4/w_1629,h_2172,c_limit/Naked%20and%20Famous-RECIPE.jpg"
66,https://www.liquor.com/thmb/SVwpUJ5a7pCy0PQvAQ5LZrTMj2c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ny-sour-1200x628-fb-v2-803d0bed94cd452382e3160c0d8bbf82.jpg
67,https://food-images.files.bbci.co.uk/food/recipes/dark_and_stormy_92822_16x9.jpg
68,https://cdn.diffords.com/contrib/stock-images/2018/05/5af311caad063.jpg
69,https://www.liquor.com/thmb/0tL6ShI57Emm7ClKKQTgAsaYf7c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/lemon-drop-720x720-primary-28bff9ae20eb49a1acdeb9221c5ff8e2.jpg
70,https://iba-world.com/wp-content/uploads/2021/02/IBA-NE-01-Barracuda.jpg
71,https://cdn.tasteatlas.com/images/ingredients/884fef50123b4e8f9e06b6364430c7db.jpg
72,https://amandascookin.com/wp-content/uploads/2019/05/Bramble-Cocktail-680.jpg
73,https://kitchenswagger.com/wp-content/uploads/2019/08/bees-knees-cocktail1.jpg
74,https://drinkoteket.com/wp-content/uploads/southside.jpg
75,https://cdn.diffords.com/contrib/stock-images/2019/10/5dad83e4a2e5c.jpg
